"snpId","chrId","positionBp","positionCM","C57BL.6J.Chr1PWD.ForeJ","C57BL.6J.Chr2PWD.ForeJ","C57BL.6J.Chr3PWD.ForeJ","C57BL.6J.Chr4PWD.ForeJ","C57BL.6J.Chr5PWD.ForeJ","C57BL.6J.Chr6PWD.ForeJ","C57BL.6J.Chr7PWD.ForeJ","C57BL.6J.Chr8PWD.ForeJ","C57BL.6J.Chr9PWD.ForeJ","C57BL.6J.Chr10.1PWD.ForeJ","C57BL.6J.Chr10.2PWD.ForeJ","C57BL.6J.Chr10.3PWD.ForeJ","C57BL.6J.Chr11.1PWD.ForeJ","C57BL.6J.Chr11.2PWD.ForeJ","C57BL.6J.Chr11.3PWD.ForeJ","C57BL.6J.Chr12PWD.ForeJ","C57BL.6J.Chr13PWD.ForeJ","C57BL.6J.Chr14PWD.ForeJ","C57BL.6J.Chr16PWD.ForeJ","C57BL.6J.Chr18PWD.ForeJ","C57BL.6J.Chr19PWD.ForeJ","C57BL.6J.ChrX.1PWD.ForeJ","C57BL.6J.ChrX.2PWD.ForeJ","C57BL.6J.ChrX.3PWD.ForeJ","C57BL.6J.ChrYPWD.ForeJ","C57BL.6J.ChrMTPWD.ForeJ","C57BL.6J","PWD","C57BL.6J.Chr15PWD.ForeJ","C57BL.6J.Chr17PWD.ForeJ","mm10positionBp"
"JAX00348743","13",3006383,1.6807,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",3007137
"JAX00041273","13",4795767,2.6811,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",4796521
"JAX00349762","13",9199105,3.6843,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",9199859
"JAX00350372","13",12543991,4.6853,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",12451724
"JAX00202088","13",15899077,5.6887,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",15807244
"JAX00351528","13",18762917,6.6991,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",18671048
"JAX00352277","13",21341854,7.7089,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",21249985
"JAX00042544","13",22541525,8.7338,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",22449656
"JAX00042619","13",23620429,9.7701,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",23528560
"JAX00352853","13",25008783,10.7735,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",24916914
"JAX00353056","13",26286948,11.778,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",26195079
"JAX00353416","13",28615254,12.7788,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",28523385
"JAX00354309","13",33059060,13.7807,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",32967191
"JAX00355273","13",37457093,14.8844,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",37365224
"JAX00355306","13",37571259,15.9424,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",37479390
"JAX00043670","13",37681415,17.1091,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",37589546
"JAX00355568","13",38390045,18.1122,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",38298176
"JAX00355824","13",39677353,19.1214,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",39585484
"JAX00356122","13",40955831,20.1235,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",40860462
"JAX00202711","13",42863017,21.1348,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",42767648
"JAX00044314","13",46302439,23.042,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",46207070
"JAX00356991","13",46682145,24.0547,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",46586776
"JAX00357483","13",49404064,25.2,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",49308695
"JAX00357782","13",51855564,26.2397,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",51760195
"JAX00358066","13",52557747,27.2404,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",52462378
"JAX00044877","13",53822734,28.2446,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",53727365
"JAX00044952","13",54853525,29.2501,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",54752164
"JAX00359130","13",56871336,30.2643,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",56769975
"JAX00359726","13",58971695,31.2648,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",58870334
"JAX00360307","13",60473757,32.2869,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",60372396
"JAX00045695","13",64961208,34.0222,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",64859900
"JAX00361594","13",68599729,35.4486,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",68460852
"JAX00046073","13",71213854,36.4706,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",71074976
"JAX00362413","13",71369465,37.5394,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",71230587
"JAX00362685","13",72193860,38.5518,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",72056412
"JAX00362966","13",73042924,39.558,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",72905476
"JAX00363441","13",74872138,40.561,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",74734690
"JAX00364107","13",79365096,41.5611,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",79225835
"JAX00364371","13",81390470,42.5619,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",81251471
"JAX00364445","13",81769901,43.5686,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",81630902
"JAX00047081","13",84692466,44.5725,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",84552861
"JAX00365791","13",90403041,45.5793,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",90263436
"JAX00365972","13",91299747,46.5943,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",91160142
"JAX00366229","13",92944320,47.6124,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",92174365
"JAX00366655","13",94737240,48.6247,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",93967285
"JAX00367016","13",96302298,49.7914,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",95532343
"JAX00048042","13",98247370,50.8046,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",97477415
"JAX00367623","13",98944509,51.8163,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",98174554
"JAX00367852","13",100123265,52.855,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",99353310
"JAX00048359","13",102451498,53.9199,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",101681543
"JAX00368488","13",103491674,54.9284,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",102701594
"JAX00368634","13",104007471,55.9309,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",103217391
"JAX00369214","13",106931574,57.0327,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",106141494
"JAX00369279","13",107272685,58.065,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",106482605
"JAX00369444","13",108131977,59.0654,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",107341897
"JAX00369986","13",110356926,60.0717,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",109566732
"JAX00370138","13",110793852,61.0737,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",110003644
"JAX00370275","13",111268108,62.1612,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",110477900
"JAX00049083","13",112127409,63.1623,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",111337201
"JAX00371175","13",115257299,64.1745,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",114467091
"JAX00049476","13",117361606,65.2129,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",116571930
"JAX00049554","13",118399911,66.3553,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","B","P","B","B",117611104
"JAX00049750","14",5135783,2.7257,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",5045423
"JAX00374240","14",7135715,3.7871,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",6537306
"JAX00372231","14",9110948,4.795,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",8278434
"JAX00049960","14",10795746,5.805,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",9963232
"JAX00050173","14",13646169,6.8551,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",12813655
"JAX00050632","14",19792825,7.8955,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",18960311
"JAX00374225","14",20075374,8.9254,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",19242860
"JAX00374247","14",20460585,10.3295,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",19641363
"JAX00374305","14",20764293,11.3391,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",19945071
"JAX00374918","14",23357909,12.3412,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",22538687
"JAX00375130","14",24492346,13.3415,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",23673124
"JAX00051028","14",25157423,14.3512,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",24338201
"JAX00375563","14",27115829,15.9865,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",26296343
"JAX00204575","14",30536478,17.2663,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",29723292
"JAX00376284","14",30720872,18.2905,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",29907686
"JAX00051546","14",32426107,19.317,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",31612921
"JAX00051684","14",34294834,20.363,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",33481648
"JAX00051978","14",38206521,21.4198,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",37393335
"JAX00052300","14",43185870,22.4313,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",42607063
"JAX00052496","14",46336933,23.4653,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",45717258
"JAX00052587","14",47541996,24.4819,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",46922321
"JAX00379575","14",49902860,25.5066,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",49283185
"JAX00052918","14",52030051,26.509,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",51410376
"JAX00053068","14",54398242,27.5099,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",53778567
"JAX00053311","14",57649476,29.7871,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",57030639
"JAX00053501","14",60168085,31.4829,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",59549248
"JAX00053663","14",62318605,33.163,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",61699768
"JAX00382089","14",65882464,34.1887,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",65263627
"JAX00382606","14",68646657,35.2062,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",68028600
"JAX00383025","14",70492783,36.207,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",70092976
"JAX00383326","14",71668007,37.258,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",71268200
"JAX00205228","14",73278864,38.2879,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",72879057
"JAX00384049","14",74833353,39.2934,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",74433546
"JAX00384466","14",76460631,40.3304,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",76060824
"JAX00384869","14",78808769,41.3509,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",78408962
"JAX00054946","14",79463343,42.3767,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",79063536
"JAX00055255","14",83730832,43.4746,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",83331025
"JAX00386991","14",94039832,45.957,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",93640613
"JAX00387413","14",96632652,46.9629,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",96233433
"JAX00387528","14",97826113,47.9734,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",97426894
"JAX00056407","14",99141313,48.9949,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",98742094
"JAX00387827","14",100078743,50.0797,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",99679524
"JAX00388323","14",103117277,51.0798,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",102718060
"JAX00388389","14",103678764,52.0869,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",103279547
"JAX00388536","14",104487380,53.5374,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",104088163
"JAX00388623","14",105052820,54.5516,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",104653603
"JAX00056893","14",105630787,55.5883,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",105231570
"JAX00057152","14",109062968,56.6229,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",108663751
"JAX00057357","14",111827145,57.6384,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",111427923
"JAX00205882","14",114227165,58.6431,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",113827943
"JAX00057660","14",115844540,59.6533,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",115445318
"JAX00390768","14",117844832,60.6637,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",117445610
"JAX00057854","14",118455504,61.6639,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",118056282
"JAX00206007","14",119550127,62.6728,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",119150905
"JAX00057988","14",120433258,63.6732,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",120034036
"JAX00391298","14",120748545,64.6764,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",120349323
"JAX00391655","14",122230468,65.6769,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","B","B","B","B","B","B","B","B","B","P","B","B",121831246
"JAX00391985","15",3090615,1.7639,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",3140615
"JAX00392510","15",6396260,2.7906,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",6446260
"JAX00058689","15",7773941,3.8093,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",7823941
"JAX00058855","15",9957963,4.8924,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",10028208
"JAX00059001","15",11905272,5.8934,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",11975517
"JAX00059137","15",13718263,6.8962,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",13788508
"JAX00059355","15",16640527,7.9013,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",16710772
"JAX00395624","15",23320249,8.9028,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",23390494
"JAX00206643","15",27027503,9.9038,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",27097748
"JAX00396449","15",28148110,10.9143,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",28218355
"JAX00396481","15",28425061,11.936,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",28495306
"JAX00397082","15",31405608,12.9612,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",31475853
"JAX00397632","15",33831447,13.9616,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",33901692
"JAX00398218","15",37348229,14.9651,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",37418474
"JAX00398959","15",41211902,15.9659,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",41380356
"JAX00061447","15",44591623,16.9666,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",44760077
"JAX00400095","15",47983216,18.0121,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",48151670
"JAX00400528","15",50285400,19.0417,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",50453854
"JAX00062078","15",53016532,20.0572,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",53184977
"JAX00401147","15",53294015,21.1005,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",53462460
"JAX00401608","15",55441730,22.1097,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",55610175
"JAX00062327","15",56346658,23.137,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",56515103
"JAX00402066","15",57798225,24.1439,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",57966670
"JAX00402396","15",59116271,25.1442,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",59284716
"JAX00403113","15",61771040,26.1453,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",61939485
"JAX00062848","15",63293580,27.156,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",63462025
"JAX00403464","15",63773688,28.193,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",63942133
"JAX00403915","15",66171424,29.2008,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",66339862
"JAX00404506","15",68662345,30.206,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",68831915
"JAX00207452","15",69053541,31.2211,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",69223111
"JAX00405057","15",71422987,32.2228,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",71592557
"JAX00405330","15",72269029,33.2233,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",72438599
"JAX00063813","15",76150651,35.7058,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",76320221
"JAX00063920","15",77602591,36.8307,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",77772161
"JAX00406847","15",79495253,37.8437,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",79664823
"JAX00407482","15",82796482,38.9056,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",82966052
"JAX00064430","15",84428005,39.9065,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",84597575
"JAX00064588","15",86545771,40.9145,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",86715341
"JAX00408659","15",87275460,41.9199,"B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","B","P","P","B",87445030
